node	node_type
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.550.073.093	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.131.740.650	MeSH_Tree_Disease
MeSH_Disease:D001660	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.050.351.875.253.064.249	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.950.419.473.585.220	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.974.250	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.550.260	MeSH_Tree_Disease
MeSH_Disease:D007639	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.733.266	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.574.500.825	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.907.109.239	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.668.491.500.700	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.131.260.830.835.750	MeSH_Tree_Disease
MeSH_Tree_Disease:F03.615.400.125	MeSH_Tree_Disease
MeSH_Disease:D007015	MeSH_Tree_Disease
MeSH_Tree_Disease:C17.800.838.765.310	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.050.351.968.934.734	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.228.140.300.510.800.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C09.775.549.685.800	MeSH_Tree_Disease
MeSH_Tree_Disease:C20.683.515.517	MeSH_Tree_Disease
MeSH_Disease:D056005	MeSH_Tree_Disease
MeSH_Disease:D018497	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.260.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C18.654.940.520	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C14.907.137.126.114	MeSH_Tree_Disease
MeSH_Tree_Disease:C11.941.160.478.550	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C08.381.677.540.300	MeSH_Tree_Disease
MeSH_Tree_Disease:C26.803.250.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.465.625.600.380.080	MeSH_Tree_Disease
MeSH_Tree_Disease:C26.891.375.750	MeSH_Tree_Disease
MeSH_Tree_Disease:C18.452.648.595.554.295	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.830.900	MeSH_Tree_Disease
MeSH_Tree_Disease:C08.730.085.600	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.150.252.400.210.250.299	MeSH_Tree_Disease
MeSH_Disease:D015828	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.207.198.500.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C05.651.869	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.558.276.425	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.888.592.604.039	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.907.585.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.131.831.493.170	MeSH_Tree_Disease
MeSH_Disease:D000752	MeSH_Tree_Disease
MeSH_Tree_Disease:C04.557.580.625.650.595	MeSH_Tree_Disease
MeSH_Tree_Disease:C19.053.800.604.249	MeSH_Tree_Disease
MeSH_Tree_Disease:C19.391.829	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.888.144.243.926	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.150.252.400.840.500.875	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.050.351.500.056.390.890	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.925.081.343.345	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.050.703.420.814	MeSH_Tree_Disease
MeSH_Tree_Disease:C17.800.804.066	MeSH_Tree_Disease
MeSH_Tree_Disease:C06.405.205.282.500.438	MeSH_Tree_Disease
